degree,formation,speciality,segmentation,
BP,Mise en oeuvre caoutchoucs élastomères thermoplastiques,,,BP Mise en oeuvre caoutchoucs élastomères thermoplastiques
BP,Pilote d'installations de production par procédés,,,BP Pilote d'installations de production par procédés
BP,Plastiques et composites,,,BP Plastiques et composites
BP,Préparateur en pharmacie,,,BP Préparateur en pharmacie
BP,Sommelier,,,BP Sommelier
BP,Techniques de laboratoire de recherche,Physicochimie,,BP Techniques de laboratoire de recherche Physicochimie
BP,Vêtement sur mesure,Couture flou,,BP Vêtement sur mesure Couture flou
BP,Vêtement sur mesure,Tailleur dame,,BP Vêtement sur mesure Tailleur dame
BP,Vêtement sur mesure création,Tailleur homme,,BP Vêtement sur mesure création Tailleur homme
BP,Technique de laboratoire de recherche,Biologie,,BP Technique de laboratoire de recherche Biologie
BP,Coiffure,,,BP Coiffure
BP,Boulanger,,,BP Boulanger
BP,responsable d'entreprise hippique,,,BP responsable d'entreprise hippique
BP,"Agroéquipement, conduite et maintenance des matériels",,,"BP Agroéquipement, conduite et maintenance des matériels "
BP,Industries alimentaires,,,BP Industries alimentaires
BP,Responsable de chantiers forestiers,,,BP Responsable de chantiers forestiers
BP,Menuisier,,,BP Menuisier
BP,option Responsable d’exploitation aquacole maritime-continentale,,,BP option Responsable d’exploitation aquacole maritime-continentale
BP,"de la jeunesse, de l'éducation populaire et du sport  ",Activités nautiques,,"BP de la jeunesse, de l'éducation populaire et du sport   Activités nautiques "
BP,"de la jeunesse, de l'éducation populaire et du sport - spécialité Techniques de l'information et de la communication",,,"BP de la jeunesse, de l'éducation populaire et du sport - spécialité Techniques de l'information et de la communication "
BP,"de la jeunesse, de l'éducation populaire et du sport, spécialité ""Rugby à XV""",,,"BP de la jeunesse, de l'éducation populaire et du sport, spécialité ""Rugby à XV"" "
BP,Arts du service et commercialisation en restauration,,,BP Arts du service et commercialisation en restauration
BP,Boucher,,,BP Boucher
BP,Electricien(ne),,,BP Electricien(ne)
BP,"Brevet Professionnel de la Jeunesse, de l'Éducation Populaire et du Sport ",Animateur,,"BP Brevet Professionnel de la Jeunesse, de l'Éducation Populaire et du Sport  Animateur "
BP,"Brevet Professionnel de la Jeunesse, de l'Éducation Populaire et du Sport  Sportif ", Educateur sportif,,"BP Brevet Professionnel de la Jeunesse, de l'Éducation Populaire et du Sport  Sportif   Educateur sportif "
BP,Responsable d'entreprise agricole,,,BP Responsable d'entreprise agricole
BP,Installateur dépanneur en froid et conditionnement d'air,,,BP Installateur dépanneur en froid et conditionnement d'air
BP,Etanchéité du bâtiment et des travaux publics,,,BP Etanchéité du bâtiment et des travaux publics
BP,Maçon,,,BP Maçon
BP,Métiers de la piscine,,,BP Métiers de la piscine
BP,Carreleur Mosaïste,,,BP Carreleur Mosaïste
BP,Menuisier aluminium-verre,,,BP Menuisier aluminium-verre
BP,Métiers de la pierre,,,BP Métiers de la pierre
BP,Métallier,,,BP Métallier
BP,Peintre applicateur de revêtements,,,BP Peintre applicateur de revêtements
BP,Métiers du plâtre et de l'isolation,,,BP Métiers du plâtre et de l'isolation
BP,Couvreur,,,BP Couvreur
BP,Conducteur d'engins : travaux publics et carrières,,,BP Conducteur d'engins : travaux publics et carrières
BP,Monteur en installations de génie climatique et sanitaire,,,BP Monteur en installations de génie climatique et sanitaire
BP,Technicien animalier en unité d'expérimentation,,,BP Technicien animalier en unité d'expérimentation
BP,Aménagements paysagers,,,BP Aménagements paysagers
BP,Esthétique Cosmétique Parfumerie,,,BP Esthétique Cosmétique Parfumerie
BP,"Responsable de productions légumières, fruitières, florales et de pépinières",,,"BP Responsable de productions légumières, fruitières, florales et de pépinières "
BP,Arts de la cuisine,,,BP Arts de la cuisine
BP,"Brevet professionnel de la jeunesse, de l’éducation populaire et du sport spécialité « éducateur sportif »              mention parachutisme",,,"BP Brevet professionnel de la jeunesse, de l’éducation populaire et du sport spécialité « éducateur sportif »              mention parachutisme "
BP,"Brevet professionnel de la jeunesse, de l’éducation populaire et du sport spécialité « éducateur sportif »              mention sport automobile",,,"BP Brevet professionnel de la jeunesse, de l’éducation populaire et du sport spécialité « éducateur sportif »              mention sport automobile "
BP,Fleuriste,,,BP Fleuriste
BP, Educateur canin,,,BP  Educateur canin
